label,accuracy,eo_tpr_gap
baseline,0.7716065677630537,0.017761207445413985
dsap,0.7679953539939813,0.013635294558256295
eq_odds,0.8087957341217464,0.043088198943859846
thresh_opt,0.7712369991024761,0.004291808387610119
