label,accuracy,eo_tpr_gap
baseline,0.6757206208425721,0.27328938056393615
dsap,0.6729490022172949,0.29088911237754655
eq_odds,0.5842572062084257,0.08850150854844106
thresh_opt,0.6557649667405765,0.0337840354602007
