label,accuracy,eo_tpr_gap
baseline,0.7845738700247358,0.09241830535443785
dsap,0.7785841323057424,0.018239469510906492
eq_odds,0.7735552057566899,0.008965899666668498
thresh_opt,0.7793814011488849,0.013762846228842718
